Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2022-01-04,437329.5369605139,21097.85372214901,458427.39068266295,461430.0354427948,-0.006507259019778493
2022-01-05,436581.39738837036,21097.85372214901,457679.2511105194,461430.0354427948,-0.00812860898549026
2022-01-06,435878.7770728186,21097.85372214901,456976.63079496764,461430.0354427948,-0.009651310720494383
2022-01-07,435623.34385290893,21097.85372214901,456721.197575058,461430.0354427948,-0.01020487940976393
2022-01-10,435164.37466421875,21097.85372214901,456262.2283863678,461430.0354427948,-0.011199546322267256
2022-01-11,435831.98737326416,21097.85372214901,456929.8410954132,461430.0354427948,-0.009752712224428872
2022-01-12,435995.81270590576,21097.85372214901,457093.6664280548,461430.0354427948,-0.009397673930303971
2022-01-13,435873.2681044653,21097.85372214901,456971.12182661437,461430.0354427948,-0.00966324962331848
2022-01-14,435678.98793402466,21097.85372214901,456776.8416561737,461430.0354427948,-0.010084288904504933
2022-01-17,435811.0764655188,21097.85372214901,456908.93018766784,461430.0354427948,-0.009798029837369465
2022-01-18,435600.4048422888,21097.85372214901,456698.25856443786,461430.0354427948,-0.010254592278147333
2022-01-19,435754.1099471167,21097.85372214901,456851.96366926574,461430.0354427948,-0.009921486296694731
2022-01-20,436462.80168143066,21097.85372214901,457560.6554035797,461430.0354427948,-0.008385626729959128
2022-01-21,435144.08782950195,21097.85372214901,456241.941551651,461430.0354427948,-0.011243511459251305
2022-01-24,433969.13456335815,21097.85372214901,455066.9882855072,461430.0354427948,-0.013789841727969718
2022-01-25,433752.50593558105,21097.85372214901,454850.3596577301,461430.0354427948,-0.01425931404476249
2022-01-26,434391.9563635901,21097.85372214901,455489.8100857391,461430.0354427948,-0.012873512560480246
2022-01-27,434003.75023260864,21097.85372214901,455101.6039547577,461430.0354427948,-0.013714823487734727
2022-01-28,433773.5430125311,21097.85372214901,454871.39673468017,461430.0354427948,-0.014213723000976435
2022-01-31,434626.0082015112,21097.85372214901,455723.86192366027,461430.0354427948,-0.012366281084539276
2022-02-01,435183.65114584717,21097.85372214901,456281.5048679962,461430.0354427948,-0.01115777079803221
2022-02-02,434717.7539519385,21097.85372214901,455815.6076740875,461430.0354427948,-0.012167451915694199
2022-02-03,433663.3053969458,21097.85372214901,454761.15911909484,461430.0354427948,-0.014452627292240313
2022-02-04,433909.64128485473,21097.85372214901,455007.4950070038,461430.0354427948,-0.01391877412060499
2022-02-07,433964.8642882422,21097.85372214901,455062.7180103912,461430.0354427948,-0.013799096164802961
2022-02-08,434042.35457602295,21097.85372214901,455140.208298172,461430.0354427948,-0.013631161089431458
2022-02-09,435132.88736334594,21097.85372214901,456230.741085495,461430.0354427948,-0.01126778483830271
2022-02-10,434941.65827551635,21097.85372214901,456039.5119976654,461430.0354427948,-0.011682211887131647
2022-02-11,434374.0700606421,21097.85372214901,455471.9237827911,461430.0354427948,-0.012912275323140102
2022-02-14,434066.117465885,21097.85372214901,455163.97118803405,461430.0354427948,-0.01357966272990387
2022-02-15,434743.5181655005,21097.85372214901,455841.3718876495,461430.0354427948,-0.012111616335903021
2022-02-16,434649.9312438086,21097.85372214901,455747.78496595763,461430.0354427948,-0.012314435646531743
2022-02-17,434599.74674979004,21097.85372214901,455697.6004719391,461430.0354427948,-0.012423194266829179
2022-02-18,434077.736644657,21097.85372214901,455175.590366806,461430.0354427948,-0.013554481927009619
2022-02-21,433375.34342184814,21097.85372214901,454473.1971439972,461430.0354427948,-0.015076691512119983
2022-02-22,433567.5270613745,21097.85372214901,454665.38078352355,461430.0354427948,-0.014660195781966777
2022-02-23,433691.69862738403,21097.85372214901,454789.55234953307,461430.0354427948,-0.014391094170732551
2022-02-24,434030.88944617065,21097.85372214901,455128.7431683197,461430.0354427948,-0.013656008041237039
2022-02-25,435604.460636051,21097.85372214901,456702.31435820006,461430.0354427948,-0.010245802660110624
2022-02-28,436319.2409438208,21097.85372214901,457417.09466596984,461430.0354427948,-0.008696748084406939
2022-03-01,438181.5729407385,21097.85372214901,459279.42666288756,461430.0354427948,-0.004660747274163616
2022-03-02,438002.49966803344,21097.85372214901,459100.3533901825,461430.0354427948,-0.005048830534788895
2022-03-03,437485.6872290686,21097.85372214901,458583.54095121764,461430.0354427948,-0.0061688539387029975
2022-03-04,437147.9932021216,21097.85372214901,458245.8469242706,461430.0354427948,-0.006900696257166219
2022-03-07,437749.36124029907,21097.85372214901,458847.2149624481,461430.0354427948,-0.0055974260060209745
2022-03-08,438803.0044783667,21097.85372214901,459900.85820051574,461430.0354427948,-0.003313995892815327
2022-03-09,439232.3864325598,21097.85372214901,460330.24015470885,461430.0354427948,-0.0023834497185051214
2022-03-10,437662.32437125,21097.85372214901,458760.17809339904,461430.0354427948,-0.005786050201161524
2022-03-11,438299.9432448462,21097.85372214901,459397.7969669952,461430.0354427948,-0.0044042180172545456
2022-03-14,435722.5322569922,21097.85372214901,456820.3859791412,461430.0354427948,-0.009989920702127853
2022-03-15,435454.2917517737,21097.85372214901,456552.1454739227,461430.0354427948,-0.01057124503001019
2022-03-16,437000.775504978,21097.85372214901,458098.62922712706,461430.0354427948,-0.00721974288576785
2022-03-17,436906.99644842895,21097.85372214901,458004.850170578,461430.0354427948,-0.007422978586406801
2022-03-18,437984.922897251,21097.85372214901,459082.7766194,461430.0354427948,-0.005086922486834461
2022-03-21,437670.19471350464,21097.85372214901,458768.0484356537,461430.0354427948,-0.005768993785995385
2022-03-22,438469.38537588867,21097.85372214901,459567.2390980377,461430.0354427948,-0.004037007133637312
2022-03-23,438120.44815436157,21097.85372214901,459218.3018765106,461430.0354427948,-0.004793215431157984
2022-03-24,438025.3234061316,21097.85372214901,459123.17712828063,461430.0354427948,-0.004999367482223966
2022-03-25,437569.8052519873,21097.85372214901,458667.65897413634,461430.0354427948,-0.005986555396220863
2022-03-28,437696.64193716797,21097.85372214901,458794.495659317,461430.0354427948,-0.00571167800325066
2022-03-29,438223.5022238806,21097.85372214901,459321.35594602965,461430.0354427948,-0.004569879146990546
2022-03-30,437835.627269657,21097.85372214901,458933.480991806,461430.0354427948,-0.005410472355994426
2022-03-31,437363.6367224768,21097.85372214901,458461.49044462584,461430.0354427948,-0.006433358841325289
2022-04-01,437781.5655402258,21097.85372214901,458879.41926237487,461430.0354427948,-0.005527633626996809
2022-04-04,438954.0061720923,21097.85372214901,460051.8598942413,461430.0354427948,-0.002986748678444718
2022-04-05,438765.32762137207,21097.85372214901,459863.1813435211,461430.0354427948,-0.0033956482650075136
2022-04-06,437940.75075903686,21097.85372214901,459038.6044811859,461430.0354427948,-0.005182651275212364
2022-04-07,437913.11825171264,21097.85372214901,459010.9719738617,461430.0354427948,-0.005242535776007164
2022-04-08,437739.3976134375,21097.85372214901,458837.25133558654,461430.0354427948,-0.005619018936901625
2022-04-11,437532.6604422644,21097.85372214901,458630.51416441344,461430.0354427948,-0.006067054728448458
2022-04-12,438022.16692724975,21097.85372214901,459120.0206493988,461430.0354427948,-0.005006208126827447
2022-04-13,437209.60082236084,21097.85372214901,458307.4545445099,461430.0354427948,-0.006767181714316536
2022-04-14,437908.1251753882,21097.85372214901,459005.9788975372,461430.0354427948,-0.005253356650117952
2022-04-18,437908.1251753882,21097.85372214901,459005.9788975372,461430.0354427948,-0.005253356650117952
2022-04-19,438183.3818739966,21097.85372214901,459281.2355961456,461430.0354427948,-0.004656826997807265
2022-04-20,437659.37729635986,21097.85372214901,458757.2310185089,461430.0354427948,-0.005792437030504587
2022-04-21,437023.06050101074,21097.85372214901,458120.9142231598,461430.0354427948,-0.007171447381962317
2022-04-22,435877.1484450415,21097.85372214901,456975.00216719054,461430.0354427948,-0.009654840243178222
2022-04-25,435659.0104941443,21097.85372214901,456756.8642162933,461430.0354427948,-0.010127583528490997
2022-04-26,435509.81341543945,21097.85372214901,456607.6671375885,461430.0354427948,-0.01045091982488458
2022-04-27,436025.6906928137,21097.85372214901,457123.54441496276,461430.0354427948,-0.00933292308052609
2022-04-28,436133.65869131836,21097.85372214901,457231.5124134674,461430.0354427948,-0.009098937448444228
2022-04-29,436578.40298071655,21097.85372214901,457676.2567028656,461430.0354427948,-0.008135098393252663
2022-05-02,435682.50159827026,21097.85372214901,456780.3553204193,461430.0354427948,-0.01007667417642978
2022-05-03,436507.35988608154,21097.85372214901,457605.2136082306,461430.0354427948,-0.008289061267747462
2022-05-04,436662.94676962646,21097.85372214901,457760.8004917755,461430.0354427948,-0.007951877141023639
